Date,Amount,Transaction Type,Transaction Details,Category,Merchant Name
01-04-2025,249.89,PAYMENT,Salary Payment from KFC Gungahlin,Income,KFC (Gungahlin)
01-04-2025,-48.18,MISCELLANEOUS DEBIT,POS 01/04 JB HI-FI,Entertainment,JB Hi-Fi (Belconnen)
02-04-2025,-47.03,EFTPOS DEBIT,POS 02/04 SPOTIFY,Subscriptions,Spotify
03-04-2025,-70.95,MISCELLANEOUS DEBIT,POS 03/04 7-ELEVEN,Transport,7-Eleven (Mitchell)
04-04-2025,-37.98,MISCELLANEOUS DEBIT,POS 04/04 MACCA'S,Fast Food,McDonald's (Gungahlin)
05-04-2025,-71.86,MISCELLANEOUS DEBIT,POS 05/04 BOOST JUICE,Snacks,Boost Juice (Belconnen)
06-04-2025,-31.5,MISCELLANEOUS DEBIT,POS 06/04 ALDI,Groceries,ALDI (Casey)
07-04-2025,-9.49,EFTPOS DEBIT,POS 07/04 DOBINSONS,Cafe,Dobinsons (Gungahlin)
07-04-2025,-70.23,MISCELLANEOUS DEBIT,POS 07/04 ALDI,Groceries,ALDI (Casey)
08-04-2025,237.73,PAYMENT,Salary Payment from KFC Gungahlin,Income,KFC (Gungahlin)
08-04-2025,-52.96,EFTPOS DEBIT,POS 08/04 MACCA'S,Fast Food,McDonald's (Gungahlin)
09-04-2025,-58.76,MISCELLANEOUS DEBIT,POS 09/04 COLES,Groceries,Coles (Amaroo)
10-04-2025,-20.76,EFTPOS DEBIT,POS 10/04 THE COFFEE CLUB,Cafe,The Coffee Club (Belconnen)
10-04-2025,-14.96,MISCELLANEOUS DEBIT,POS 10/04 WOOLWORTHS,Groceries,Woolworths (Marketplace Gungahlin)
11-04-2025,-10.95,EFTPOS DEBIT,POS 11/04 SHELL,Transport,Shell (Watson)
11-04-2025,-61.27,MISCELLANEOUS DEBIT,POS 11/04 7-ELEVEN,Transport,7-Eleven (Mitchell)
11-04-2025,-43.57,EFTPOS DEBIT,POS 11/04 WOOLWORTHS,Groceries,Woolworths (Marketplace Gungahlin)
12-04-2025,-40.38,MISCELLANEOUS DEBIT,POS 12/04 DOBINSONS,Cafe,Dobinsons (Gungahlin)
12-04-2025,-36.25,MISCELLANEOUS DEBIT,POS 12/04 ALDI,Groceries,ALDI (Casey)
12-04-2025,-11.37,MISCELLANEOUS DEBIT,POS 12/04 ZAMBRERO,Fast Food,Zambrero (Gungahlin)
14-04-2025,-62.75,EFTPOS DEBIT,POS 14/04 MACCA'S,Fast Food,McDonald's (Gungahlin)
15-04-2025,-70.32,EFTPOS DEBIT,POS 15/04 APPLE,Subscriptions,Apple Music
16-04-2025,223.33,PAYMENT,Salary Payment from KFC Gungahlin,Income,KFC (Gungahlin)
16-04-2025,-17.44,MISCELLANEOUS DEBIT,POS 16/04 APPLE,Subscriptions,Apple Music
16-04-2025,-9.36,EFTPOS DEBIT,POS 16/04 BOOST JUICE,Snacks,Boost Juice (Belconnen)
18-04-2025,-68.34,EFTPOS DEBIT,POS 18/04 THE COFFEE CLUB,Cafe,The Coffee Club (Belconnen)
19-04-2025,-47.96,EFTPOS DEBIT,POS 19/04 APPLE,Subscriptions,Apple Music
20-04-2025,-33.74,MISCELLANEOUS DEBIT,POS 20/04 MACCA'S,Fast Food,McDonald's (Gungahlin)
21-04-2025,-30.24,MISCELLANEOUS DEBIT,POS 21/04 SHELL,Transport,Shell (Watson)
21-04-2025,-40.66,MISCELLANEOUS DEBIT,POS 21/04 ZAMBRERO,Fast Food,Zambrero (Gungahlin)
22-04-2025,-65.22,EFTPOS DEBIT,POS 22/04 WOOLWORTHS,Groceries,Woolworths (Marketplace Gungahlin)
23-04-2025,234.22,PAYMENT,Salary Payment from KFC Gungahlin,Income,KFC (Gungahlin)
23-04-2025,-48.64,MISCELLANEOUS DEBIT,POS 23/04 JB HI-FI,Entertainment,JB Hi-Fi (Belconnen)
23-04-2025,-42.5,MISCELLANEOUS DEBIT,POS 23/04 DOBINSONS,Cafe,Dobinsons (Gungahlin)
26-04-2025,-35.03,MISCELLANEOUS DEBIT,POS 26/04 SHELL,Transport,Shell (Watson)
26-04-2025,-24.86,MISCELLANEOUS DEBIT,POS 26/04 ALDI,Groceries,ALDI (Casey)
26-04-2025,-59.75,EFTPOS DEBIT,POS 26/04 BOOKFACE,Entertainment,BookFace (Gungahlin)
28-04-2025,-12.99,MISCELLANEOUS DEBIT,POS 28/04 ALDI,Groceries,ALDI (Casey)
29-04-2025,-17.91,EFTPOS DEBIT,POS 29/04 ZAMBRERO,Fast Food,Zambrero (Gungahlin)
