Date,Amount,Transaction Type,Transaction Details,Category,Merchant Name
01-07-2025,225.5,PAYMENT,Salary Payment from KFC Gungahlin,Income,KFC (Gungahlin)
01-07-2025,-6.49,EFTPOS DEBIT,POS 01/07 SPOTIFY,Subscriptions,Spotify
01-07-2025,-19.17,MISCELLANEOUS DEBIT,POS 01/07 SHELL,Transport,Shell (Watson)
02-07-2025,-18.94,EFTPOS DEBIT,POS 02/07 MACCA'S,Fast Food,McDonald's (Gungahlin)
05-07-2025,-30.52,MISCELLANEOUS DEBIT,POS 05/07 WOOLWORTHS,Groceries,Woolworths (Marketplace Gungahlin)
06-07-2025,-34.53,EFTPOS DEBIT,POS 06/07 COLES,Groceries,Coles (Amaroo)
06-07-2025,-8.17,MISCELLANEOUS DEBIT,POS 06/07 APPLE,Subscriptions,Apple Music
07-07-2025,-32.84,MISCELLANEOUS DEBIT,POS 07/07 BOOKFACE,Entertainment,BookFace (Gungahlin)
07-07-2025,-25.92,MISCELLANEOUS DEBIT,POS 07/07 JB HI-FI,Entertainment,JB Hi-Fi (Belconnen)
08-07-2025,-9.23,MISCELLANEOUS DEBIT,POS 08/07 BOOST JUICE,Snacks,Boost Juice (Belconnen)
08-07-2025,-32.81,MISCELLANEOUS DEBIT,POS 08/07 BOOKFACE,Entertainment,BookFace (Gungahlin)
09-07-2025,200.56,PAYMENT,Salary Payment from KFC Gungahlin,Income,KFC (Gungahlin)
09-07-2025,-41.75,EFTPOS DEBIT,POS 09/07 COLES,Groceries,Coles (Amaroo)
09-07-2025,-19.94,MISCELLANEOUS DEBIT,POS 09/07 JB HI-FI,Entertainment,JB Hi-Fi (Belconnen)
10-07-2025,-16.6,EFTPOS DEBIT,POS 10/07 JB HI-FI,Entertainment,JB Hi-Fi (Belconnen)
11-07-2025,-17,MISCELLANEOUS DEBIT,POS 11/07 COLES,Groceries,Coles (Amaroo)
11-07-2025,-10.99,MISCELLANEOUS DEBIT,POS 11/07 BOOST JUICE,Snacks,Boost Juice (Belconnen)
12-07-2025,-10.69,EFTPOS DEBIT,POS 12/07 7-ELEVEN,Transport,7-Eleven (Mitchell)
13-07-2025,-8.93,EFTPOS DEBIT,POS 13/07 BOOST JUICE,Snacks,Boost Juice (Belconnen)
14-07-2025,-11.51,EFTPOS DEBIT,POS 14/07 THIS CAFE,Cafe,This Cafe (Gungahlin)
15-07-2025,191,PAYMENT,Salary Payment from KFC Gungahlin,Income,KFC (Gungahlin)
15-07-2025,-33.26,MISCELLANEOUS DEBIT,POS 15/07 JB HI-FI,Entertainment,JB Hi-Fi (Belconnen)
15-07-2025,-26.82,MISCELLANEOUS DEBIT,POS 15/07 SHELL,Transport,Shell (Watson)
16-07-2025,-9.45,MISCELLANEOUS DEBIT,POS 16/07 ZAMBRERO,Fast Food,Zambrero (Gungahlin)
18-07-2025,-29.88,EFTPOS DEBIT,POS 18/07 BOOKFACE,Entertainment,BookFace (Gungahlin)
18-07-2025,-6.08,MISCELLANEOUS DEBIT,POS 18/07 THE COFFEE CLUB,Cafe,The Coffee Club (Belconnen)
20-07-2025,-7.17,EFTPOS DEBIT,POS 20/07 THIS CAFE,Cafe,This Cafe (Gungahlin)
21-07-2025,-15.91,EFTPOS DEBIT,POS 21/07 MACCA'S,Fast Food,McDonald's (Gungahlin)
23-07-2025,239.64,PAYMENT,Salary Payment from KFC Gungahlin,Income,KFC (Gungahlin)
23-07-2025,-6.58,MISCELLANEOUS DEBIT,POS 23/07 BOOST JUICE,Snacks,Boost Juice (Belconnen)
23-07-2025,-7.59,EFTPOS DEBIT,POS 23/07 THIS CAFE,Cafe,This Cafe (Gungahlin)
23-07-2025,-11.96,MISCELLANEOUS DEBIT,POS 23/07 7-ELEVEN,Transport,7-Eleven (Mitchell)
25-07-2025,-10.27,EFTPOS DEBIT,POS 25/07 APPLE,Subscriptions,Apple Music
25-07-2025,-6.9,EFTPOS DEBIT,POS 25/07 APPLE,Subscriptions,Apple Music
26-07-2025,-27,EFTPOS DEBIT,POS 26/07 ALDI,Groceries,ALDI (Casey)
26-07-2025,-8.44,EFTPOS DEBIT,POS 26/07 THE COFFEE CLUB,Cafe,The Coffee Club (Belconnen)
28-07-2025,-15.97,EFTPOS DEBIT,POS 28/07 COLES,Groceries,Coles (Amaroo)
28-07-2025,-12.5,MISCELLANEOUS DEBIT,POS 28/07 JB HI-FI,Entertainment,JB Hi-Fi (Belconnen)
28-07-2025,-6.5,EFTPOS DEBIT,POS 28/07 THIS CAFE,Cafe,This Cafe (Gungahlin)
29-07-2025,-10.41,MISCELLANEOUS DEBIT,POS 29/07 SHELL,Transport,Shell (Watson)
30-07-2025,-44.42,MISCELLANEOUS DEBIT,POS 30/07 WOOLWORTHS,Groceries,Woolworths (Marketplace Gungahlin)
