Date,Amount,Transaction Type,Transaction Details,Category,Merchant Name
01-06-2025,189.9,PAYMENT,Salary Payment from Woolworths Gungahlin,Income,Woolworths (Marketplace Gungahlin)
02-06-2025,35.76,EFTPOS DEBIT,POS 02/06 BOOKFACE,Entertainment,BookFace (Gungahlin)
02-06-2025,18.15,MISCELLANEOUS DEBIT,POS 02/06 ZAMBRERO,Fast Food,Zambrero (Gungahlin)
02-06-2025,-20.98,MISCELLANEOUS DEBIT,POS 02/06 7-ELEVEN,Transport,7-Eleven (Mitchell)
02-06-2025,-25.41,MISCELLANEOUS DEBIT,POS 02/06 BOOKFACE,Entertainment,BookFace (Gungahlin)
03-06-2025,-44.62,EFTPOS DEBIT,POS 03/06 COLES,Groceries,Coles (Amaroo)
04-06-2025,-34.04,EFTPOS DEBIT,POS 04/06 ALDI,Groceries,ALDI (Casey)
06-06-2025,-6.3,EFTPOS DEBIT,POS 06/06 THE COFFEE CLUB,Cafe,The Coffee Club (Belconnen)
07-06-2025,-5.84,EFTPOS DEBIT,POS 07/06 THE COFFEE CLUB,Cafe,The Coffee Club (Belconnen)
08-06-2025,195.83,PAYMENT,Salary Payment from Woolworths Gungahlin,Income,Woolworths (Marketplace Gungahlin)
09-06-2025,-30.63,MISCELLANEOUS DEBIT,POS 09/06 COLES,Groceries,Coles (Amaroo)
09-06-2025,-8.52,MISCELLANEOUS DEBIT,POS 09/06 ZAMBRERO,Fast Food,Zambrero (Gungahlin)
09-06-2025,-26.35,MISCELLANEOUS DEBIT,POS 09/06 JB HI-FI,Entertainment,JB Hi-Fi (Belconnen)
11-06-2025,-15.88,MISCELLANEOUS DEBIT,POS 11/06 MACCA'S,Fast Food,McDonald's (Gungahlin)
11-06-2025,-15.26,EFTPOS DEBIT,POS 11/06 MACCA'S,Fast Food,McDonald's (Gungahlin)
11-06-2025,-12.91,EFTPOS DEBIT,POS 11/06 SHELL,Transport,Shell (Watson)
11-06-2025,-16.34,MISCELLANEOUS DEBIT,POS 11/06 MACCA'S,Fast Food,McDonald's (Gungahlin)
12-06-2025,-22.84,MISCELLANEOUS DEBIT,POS 12/06 7-ELEVEN,Transport,7-Eleven (Mitchell)
12-06-2025,-19.74,EFTPOS DEBIT,POS 12/06 SHELL,Transport,Shell (Watson)
14-06-2025,-16.82,EFTPOS DEBIT,POS 14/06 ZAMBRERO,Fast Food,Zambrero (Gungahlin)
15-06-2025,-28.85,EFTPOS DEBIT,POS 15/06 COLES,Groceries,Coles (Amaroo)
16-06-2025,224.92,PAYMENT,Salary Payment from Woolworths Gungahlin,Income,Woolworths (Marketplace Gungahlin)
16-06-2025,-34.26,MISCELLANEOUS DEBIT,POS 16/06 COLES,Groceries,Coles (Amaroo)
17-06-2025,-7.65,EFTPOS DEBIT,POS 17/06 THE COFFEE CLUB,Cafe,The Coffee Club (Belconnen)
17-06-2025,-8.86,EFTPOS DEBIT,POS 17/06 THE COFFEE CLUB,Cafe,The Coffee Club (Belconnen)
18-06-2025,-6.39,MISCELLANEOUS DEBIT,POS 18/06 APPLE,Subscriptions,Apple Music
18-06-2025,-6.45,MISCELLANEOUS DEBIT,POS 18/06 7-ELEVEN,Transport,7-Eleven (Mitchell)
18-06-2025,-5.92,EFTPOS DEBIT,POS 18/06 THIS CAFE,Cafe,This Cafe (Gungahlin)
19-06-2025,-9.77,MISCELLANEOUS DEBIT,POS 19/06 BOOST JUICE,Snacks,Boost Juice (Belconnen)
20-06-2025,-14.96,MISCELLANEOUS DEBIT,POS 20/06 MACCA'S,Fast Food,McDonald's (Gungahlin)
21-06-2025,-8.4,MISCELLANEOUS DEBIT,POS 21/06 THE COFFEE CLUB,Cafe,The Coffee Club (Belconnen)
22-06-2025,-25.22,EFTPOS DEBIT,POS 22/06 JB HI-FI,Entertainment,JB Hi-Fi (Belconnen)
23-06-2025,211.73,PAYMENT,Salary Payment from Woolworths Gungahlin,Income,Woolworths (Marketplace Gungahlin)
23-06-2025,-6.03,MISCELLANEOUS DEBIT,POS 23/06 THE COFFEE CLUB,Cafe,The Coffee Club (Belconnen)
23-06-2025,-12.86,EFTPOS DEBIT,POS 23/06 THIS CAFE,Cafe,This Cafe (Gungahlin)
23-06-2025,-24.78,MISCELLANEOUS DEBIT,POS 23/06 7-ELEVEN,Transport,7-Eleven (Mitchell)
23-06-2025,-12.67,MISCELLANEOUS DEBIT,POS 23/06 APPLE,Subscriptions,Apple Music
24-06-2025,-5.65,MISCELLANEOUS DEBIT,POS 24/06 THE COFFEE CLUB,Cafe,The Coffee Club (Belconnen)
26-06-2025,-29.29,MISCELLANEOUS DEBIT,POS 26/06 WOOLWORTHS,Groceries,Woolworths (Marketplace Gungahlin)
27-06-2025,-38.97,MISCELLANEOUS DEBIT,POS 27/06 JB HI-FI,Entertainment,JB Hi-Fi (Belconnen)
30-06-2025,-36.25,EFTPOS DEBIT,POS 30/06 BOOKFACE,Entertainment,BookFace (Gungahlin)
30-06-2025,-27.21,MISCELLANEOUS DEBIT,POS 30/06 7-ELEVEN,Transport,7-Eleven (Mitchell)
